#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
1,"Bust Your Knee Caps - Johnny Don't Leave Me","Pomplamoose",62,119,"","Hey It's Pomplamoose",2014-06-21,03:05,41,56,5,0,56,0,0,-6,A Minor,3,2025-07-24,1Fem9jSJEleNWT1kgt70ST,8A,USE830926084
2,"Dream Sweet in Sea Major","Miracle Musical",70,170,"","Hawaii: Part II",2012-12-12,07:00,34,43,92,7,19,0,10,-11,C Major,4,2025-07-24,3RznzRnsl8mzP63l4AF2M7,8B,TCACB1435460
3,"Murders","Miracle Musical",62,144,"","Hawaii: Part II",2012-12-12,03:42,34,41,87,43,26,0,10,-10,B Minor,4,2025-07-24,0AFydkgl5Creero3gNjqvF,10A,TCACB1435453
4,"Ruler of Everything","Tally Hall",64,83,"","Marvin's Marvelous Mechanical Museum",2005-10-24,03:42,58,79,20,0,34,30,0,-8,B Minor,4,2025-07-24,3vFZheR74pxUkzxqhXTZ2X,10A,TCAAY1158676
5,"The Bidding","Tally Hall",70,175,"","Marvin's Marvelous Mechanical Museum",2005-10-24,02:40,54,61,25,0,52,20,10,-5,A Minor,4,2025-07-24,0HBrtXJohbIW4IhPZ50GmH,8A,TCAAY1150083
6,"&","Tally Hall",63,96,"","Good & Evil",2011-06-21,03:14,53,88,0,0,73,0,30,-5,B Major,4,2025-07-24,2vzbU9nlpIMYxlt0FucOHi,1B,TCAAX1184865
7,"Banana Man","Tally Hall",57,113,"","Marvin's Marvelous Mechanical Museum",2005-10-24,04:09,54,59,40,0,13,0,10,-9,D Major,4,2025-07-24,1rbieHTuGFWstwVk9o7Fgr,10B,TCAAY1158668
8,"The Whole World and You","Tally Hall",54,98,"","Marvin's Marvelous Mechanical Museum",2005-10-24,01:44,78,47,86,0,79,10,30,-9,F Major,4,2025-07-24,1mpSmPwWONa4LFdvpzcM7S,7B,TCAAY1158674
9,"B4","Ginger Root",40,104,"city pop","B4",2019-11-20,02:52,80,73,48,47,97,0,0,-5,G Major,4,2025-07-24,1W6rk2GOZWHWzGbHGKCQj9,9B,QZ93L1968127
10,"City Slicker","Ginger Root",48,130,"city pop","City Slicker",2021-08-20,02:07,81,88,31,50,94,0,30,-5,A#/B♭ Minor,4,2025-07-24,1dDUoKaxiCxP2Mhh4ze5el,3A,FRIDO2110992
11,"Out of State","Ginger Root",35,110,"city pop","Rikki",2020-10-23,02:55,80,83,33,64,97,0,30,-7,A#/B♭ Minor,4,2025-07-24,5opqxxGSbCFxBx3v7cFiJN,3A,QZ93L2028851
12,"Money Game, Pt. 2","Ren",66,98,"","Demos (Do Not Share), Vol 1",2020-04-29,03:38,89,50,63,0,75,30,10,-8,G Minor,4,2025-07-24,7fHoIcqmjrcpPYvv1iaZk1,6A,NL4NL2220514
13,"Action Movie Hero Boy","Lemon Demon",41,145,"","Dinosaurchestra",2006-07-20,03:33,66,81,16,0,76,0,30,-7,A#/B♭ Major,4,2025-07-24,7I1uAzqqdNVUptxlHPj9pZ,6B,USTCD1050477
14,"Laplace’s Angel (Hurt People? Hurt People!)","Will Wood",62,150,"","The Normal Album",2020-07-10,04:01,55,94,12,0,66,10,50,-6,A Major,4,2025-07-24,1oHbgg5WYa7WOJC8VoBVYi,11B,QZKWA2004470
15,"Money Game, Pt. 3","Ren",0,68,"","Sick Boi",2023-10-13,06:34,55,56,47,0,47,50,10,-7,A Major,4,2025-07-24,2A3YlyhIzX5YFIbH39YcHl,11B,QMDA62398010
16,"2econd 2ight 2eer (that was fun, goodbye.)","Will Wood",60,150,"","The Normal Album",2020-07-10,03:26,58,96,5,0,70,0,10,-5,C Major,4,2025-07-24,4jd13hFvWAZKZpomQleZ8L,8B,QZKWA2004471
17,"The Main Character","Will Wood",0,108,""," In case I make it, ",2022-07-29,04:25,64,75,80,0,67,0,30,-4,C Major,4,2025-07-24,54A4aGA5rmDBJqD2yFAgJI,8B,GBRKQ2263322
18,"Memento Mori: the most important thing in the world","Will Wood",57,120,"","The Normal Album",2020-07-10,02:49,72,57,70,0,71,10,70,-9,C Major,4,2025-07-24,0jAxjTvpUG0qDKLebRUuLL,8B,QZKWA2004473
19,"Hand Me My Shovel, I'm Going In! - 2020 Remastered Version","Will Wood and the Tapeworms",0,125,"","SELF-iSH (2020 Remastered Version)",2020-12-25,05:51,34,93,48,0,29,0,30,-4,E Minor,4,2025-07-24,2tEKHGZKH3L8Gt1gvp7U15,9A,USCGH2118929
20,"Mirror Man","Adult Swim Smalls,Jack Stauber's Micropop",55,138,"","Jack Stauber's OPAL (Original Soundtrack)",2020-11-06,00:58,44,27,80,0,68,0,20,-13,C Major,1,2025-07-24,3vnd2x17HCYAVlykMXsBK9,8B,USNLR2001580
21,"Necromancin Dancin","Bear Ghost",59,154,"","Blasterpiece",2016-02-18,03:47,56,89,0,0,81,0,10,-5,E Minor,4,2025-07-24,4VoSYq3aTp57jgrdNswzrd,9A,TCACL1682263
22,"Seven Sins","Ren",0,110,"","Sick Boi",2023-10-13,04:35,62,76,18,0,59,10,20,-6,A Minor,4,2025-07-24,2JpqgwQ6x1cTbWaL9X33RX,8A,QMDA62398034
23,"Outliars and Hyppocrates: a fun fact about apples","Will Wood",52,98,"","The Normal Album",2020-07-10,04:12,51,91,9,0,49,10,30,-7,A Minor,4,2025-07-24,2eemmICWbwD4NahYK8x6kz,8A,QZKWA2004469
24,"BlackBoxWarrior - OKULTRA","Will Wood",0,161,"","The Normal Album",2020-07-10,04:54,61,92,11,0,58,10,10,-7,D Major,4,2025-07-24,4Uu9ga07HIxyaaH1I3X2i3,10B,QZKWA2004476
25,"I / Me / Myself","Will Wood",0,172,"","The Normal Album",2020-07-10,04:51,48,95,17,0,76,0,80,-5,B Minor,4,2025-07-24,2vT4Xvrd9xuWUi56RQ2sqo,10A,QZKWA2004475
26,"Marsha, Thankk You for the Dialectics, but I Need You to Leave","Will Wood",50,167,"","The Normal Album",2020-07-10,05:19,31,83,13,0,33,0,0,-8,C Major,4,2025-07-24,0frg99CmmIkDNRm15gMoGY,8B,QZKWA2004477
27,"The First Step","Will Wood and the Tapeworms",0,87,"","Everything is a Lot",2015-05-20,03:18,51,89,1,1,77,10,90,-5,A#/B♭ Minor,4,2025-07-24,0g4tyyq9isBxHRRXrgyG28,3A,QMAAK1576510
28,"6up 5oh Cop-Out (Pro / Con)","Will Wood and the Tapeworms",0,115,"","Everything is a Lot",2015-05-20,03:42,55,95,1,0,67,10,30,-3,C Major,4,2025-07-24,6f44UAft0JjhxNMX12TMXl,8B,QMAAK1576501
29,"Suburbia Overture / Greetings from Mary Bell Township! / (Vampire) Culture / Love Me, Normally","Will Wood",56,111,"","The Normal Album",2020-07-10,06:16,38,83,27,0,40,10,30,-7,F Major,4,2025-07-24,5iiuKcrjqMns675Z0cBoa2,7B,QZKWA2004468
30,"Cotard's Solution (Anatta, Dukkha, Anicca) - 2020 Remastered Version","Will Wood and the Tapeworms",0,95,"","SELF-iSH (2020 Remastered Version)",2020-12-25,05:06,22,93,4,27,42,0,50,-4,C Minor,4,2025-07-24,4K5kT6GMIqh2KQlQap9OGI,5A,USCGH2118926
31,"Dr. Sunshine Is Dead - 2020 Remastered Version","Will Wood and the Tapeworms",0,130,"","SELF-iSH (2020 Remastered Version)",2020-12-25,04:46,32,82,26,5,29,0,20,-6,C Minor,4,2025-07-24,0h9anDIBIGt5Ls2zSXxM1u,5A,USCGH2118930
32,"Mr. Capgras Encounters a Secondhand Vanity: Tulpamancer's Prosopagnosia / Pareidolia (As Direct Result of Trauma to the Fusiform Gyrus) - 2020 Remastered Version","Will Wood and the Tapeworms",0,130,"","SELF-iSH (2020 Remastered Version)",2020-12-25,03:43,66,94,23,0,90,0,10,-4,F Minor,4,2025-07-24,2BecBmHQWeTVjZPClGi4o0,4A,USCGH2118927
33,"The Song with Five Names a.k.a. Soapbox Tao a.k.a. Checkmate Atheists! a.k.a. Neospace Government a.k.a. You Can Never Know - 2020 Remastered Version","Will Wood and the Tapeworms",0,165,"","SELF-iSH (2020 Remastered Version)",2020-12-25,04:26,46,96,67,0,56,10,20,-4,G Minor,4,2025-07-24,5CdCMpvYtAfXX9RFXMjCLz,6A,USCGH2118928
34,"2012 - 2020 Remastered Version","Will Wood and the Tapeworms",0,120,"","SELF-iSH (2020 Remastered Version)",2020-12-25,04:04,40,86,29,0,53,0,0,-4,F Major,4,2025-07-24,0Mqesd3aADZ9ptEW8bbf4P,7B,USCGH2118925
35,"Your Body, My Temple","Will Wood",0,137,"","Camp Here & There: Campfire Songs Edition",2022-04-08,04:18,44,82,38,0,41,10,30,-9,G Minor,4,2025-07-24,1u4O5TVrhJYUvDct70p36j,6A,QZTRX2122154
36,"Tomcat Disposables","Will Wood",0,173,""," In case I make it, ",2022-07-29,05:58,32,75,71,0,28,10,10,-7,D Major,4,2025-07-24,4olYjU2Yv1w66wOUaxb4vo,10B,USLZJ2248727
37,"Front Street","Will Wood and the Tapeworms",0,134,"","Everything is a Lot",2015-05-20,05:15,42,93,0,0,48,0,10,-4,C Major,4,2025-07-24,17qhlNqCvVGq0ZhFAhDCw4,8B,QMAAK1576503
38,"Skeleton Appreciation Day in Vestal, NY (Bones)","Will Wood and the Tapeworms",0,122,"","Everything is a Lot",2015-05-20,04:04,61,69,34,0,55,0,60,-6,C Major,4,2025-07-24,1788x4xlNC5GiIgLYglxMW,8B,QMAAK1576502
39,"Cabinet Man","Lemon Demon",55,172,"","Spirit Phone",2016-02-29,04:22,73,50,5,2,95,0,10,-8,A#/B♭ Major,4,2025-07-24,0lrtYwuy37bJzsO2LHz2kj,6B,TCACM1645304
40,"Touch-Tone Telephone","Lemon Demon",59,160,"","Spirit Phone",2016-02-29,04:42,63,71,20,0,57,0,10,-9,C Minor,4,2025-07-24,1tmRlF5pFo8G5OfJYUjWrR,5A,TCACM1645301
41,"Ferryman","Shayfer James,Will Wood",1,125,"","Shipwreck",2023-03-10,03:04,79,69,2,0,76,0,0,-5,G Minor,4,2025-07-24,58mv9EJZxROe3v3U3BUiyW,6A,QM4TW2382015
42,"Cicada Days","Will Wood",0,119,""," In case I make it, ",2022-07-29,04:10,70,49,65,0,62,0,20,-8,D Major,4,2025-07-24,5QweQSpm9R9ounFpGhlMc7,10B,USLZJ2248764
43,"Willard!","Will Wood",0,99,""," In case I make it, ",2022-07-29,04:18,38,51,86,0,28,0,10,-6,G Major,4,2025-07-24,1eZQFmVxyAeE3SHppgMxce,9B,GBRKQ2244594
44,"Becoming the Lastnames","Will Wood",0,160,""," In case I make it, ",2022-07-29,07:41,43,50,81,0,39,0,10,-6,D Major,4,2025-07-24,3xbConumZq7Mx3pB5DS1PQ,10B,GBRKQ2263814
45,"Euthanasia","Will Wood",0,105,""," In case I make it, ",2022-07-29,04:36,64,25,93,0,18,0,0,-11,F Major,4,2025-07-24,62rfGZRfzKKdclRrSmi4ht,7B,GBRKQ2244546
46,"Um, it's Kind of a Lot","Will Wood",0,125,""," In case I make it, ",2022-07-29,05:21,66,47,78,0,51,0,10,-9,G Major,4,2025-07-24,1Ywey38KvLhrz1X50j7AMf,9B,GBRKQ2244595
47,"Peas & Love","Bear Ghost",50,108,"","Jiminy",2023-09-22,02:55,70,94,8,0,53,0,10,-4,D Major,4,2025-07-24,5HJxysEGQhAUA1ID5cj0hB,10B,TCAHK2354093
48,"I Forgot Your Name (and I'm very sorry about it)","Milk In The Microwave",36,130,"","Hello Kitty Scrapbook",2023-09-15,01:35,59,45,99,0,90,0,30,-8,G Major,4,2025-07-24,15MWRYW5iap63998sewSpz,9B,QZTB22328410
49,"Empires","The Electric Swing Circus",56,120,"electro swing, swing music, nu jazz","It Flew By",2017-01-16,03:10,82,76,26,0,83,0,10,-4,D Minor,4,2025-07-24,1WdbMVvjfOV8M0tkRVilKh,7A,GB8KE1650934
50,"Half-Decade Hangover","Will Wood",0,144,""," In case I make it, ",2022-07-29,04:49,43,52,72,0,73,10,40,-10,G Major,4,2025-07-24,6ylTtRewDvpgGvMlgRKg0N,9B,GBRKQ2263349
51,"Thermodynamic Lawyer - Live","Will Wood and the Tapeworms",0,109,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,03:48,32,91,13,0,65,0,90,-3,F Major,4,2025-07-24,27sSV7zJHu9A110gIl1ixw,7B,USCGH2075521
52,"The First Step - Live","Will Wood and the Tapeworms",0,95,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,03:23,45,88,24,0,37,10,70,-5,A#/B♭ Major,4,2025-07-24,1Hf2V5LzDr9YGi3MbeOOjx,6B,USCGH2075525
53,"Self- - Live","Will Wood and the Tapeworms",0,108,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,03:58,39,27,68,0,16,0,80,-15,C Major,5,2025-07-24,0wyu2QSdjRTPZgpjpBZBG0,8B,USCGH2075515
54,"10-4 6-up 5-Oh Cop-out Pro-Con - Live","Will Wood and the Tapeworms",0,117,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,03:47,41,97,9,0,56,10,90,-3,D Major,4,2025-07-24,43sayaCB3ccTMRwHi9Sbxj,10B,USCGH2075516
55,"Cotard's Solution [Kill Me?] - Live","Will Wood and the Tapeworms",0,99,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,05:05,39,97,6,0,35,10,70,-3,C Minor,4,2025-07-24,1yUlg64oLCxOAwZP8qdwuI,5A,USCGH2075517
56,"Dr. Sunshine Lives! - Live","Will Wood and the Tapeworms",0,117,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,04:46,34,94,2,0,26,10,10,-5,G Minor,3,2025-07-24,1shOY6y7tsvqIoMiz8sZrm,6A,USCGH2075518
57,"Where Do You Get Off? - Live","Will Wood and the Tapeworms",0,130,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,04:22,31,92,19,0,40,10,70,-5,C Major,4,2025-07-24,317Zt1FjHJ7lZ2xPUF2DXE,8B,USCGH2075519
58,"Aikido - Live","Will Wood and the Tapeworms",0,150,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,02:31,27,80,51,0,24,0,80,-7,G Major,4,2025-07-24,0glsxEUqnV2z5ZUCED46Ab,9B,USCGH2075520
59,"Front Street - Live","Will Wood and the Tapeworms",0,148,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,05:06,32,95,10,0,46,10,60,-3,C Major,4,2025-07-24,5eFGLi3MQZqsOBsPuEmpri,8B,USCGH2075522
60,"Hand Me My [X] I'm [Y]! - Live","Will Wood and the Tapeworms",0,135,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,06:36,30,96,15,0,27,20,20,-4,E Minor,4,2025-07-24,0upKFNE9I1ZpffJG8MXjUt,9A,USCGH2075524
61,"2012 - Live","Will Wood and the Tapeworms",0,131,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,04:15,35,95,10,0,29,10,90,-5,F Major,4,2025-07-24,19zUxFqohYg0TaMhLD7xbl,7B,USCGH2075526
62,"-ish - Live","Will Wood and the Tapeworms",0,141,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,02:32,29,44,32,0,34,0,60,-10,C Major,4,2025-07-24,1xKWf4Rmjn3isPz1LHL7yn,8B,USCGH2075530
63,"Wasting Away Again in Bupropionville - Live","Will Wood and the Tapeworms",0,122,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,02:36,50,69,49,0,35,0,60,-6,C Major,4,2025-07-24,2jnVfUfdYbCf6Xxd3WVyJl,8B,USCGH2075523
64,"Mr. Capgras - Live","Will Wood and the Tapeworms",0,138,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,04:19,43,97,8,0,69,10,60,-3,C Major,4,2025-07-24,6Wc6w92n5UplMRJg7Lp5VF,8B,USCGH2075527
65,"...And If I Did, You Deserved It. ( In case I make it,  Outtake) - Live at Knitting Factory, Spokane, WA","Will Wood",0,127,"","IN CASE I DIE (Live)",2023-01-13,03:53,67,24,84,0,63,10,90,-13,C Major,4,2025-07-24,0lIJ6gNmGNpjB3MWUhcxXY,8B,QZWDD2294476
66,"Rivers Is a Vampire","Bear Ghost,Dan E.T.",56,100,"","Jiminy",2023-09-22,03:05,70,91,1,0,64,0,0,-4,C♯/D♭ Minor,4,2025-07-24,7L4aAOvI2j3kI556R2do4i,12A,QZFYY2321838
67,"Against the Kitchen Floor","Will Wood",0,120,""," In case I make it, ",2022-07-29,05:06,65,78,42,0,61,0,10,-4,G Major,4,2025-07-24,12mfRQYsEi3PxLRaG3Xab9,9B,GBRKQ2244593
68,"That's Enough, Let's Get You Home.","Will Wood",0,91,""," In case I make it, ",2022-07-29,03:51,41,62,88,0,30,0,0,-6,G Major,4,2025-07-24,2dAwsBcZgVmjrSXeNi3qeU,9B,GBRKQ2263800
69,"Turn the Lights Off","Tally Hall",65,189,"","Good & Evil",2011-06-21,02:56,39,70,14,0,77,0,10,-7,F#/G♭ Major,4,2025-07-24,3xpdefOloYCBXd3UR6MVyM,2B,TCAAX1184873
70,"Love, Me Normally","Will Wood",58,113,"","The Normal Album",2020-07-10,05:44,59,63,40,0,51,0,30,-7,F Major,3,2025-07-24,49StY6V4Cus0xM0GhieSrT,7B,QZKWA2004474
71,"Don't Say Yes Until I Finish Talking (SMASH Cast Version) (feat. Christian Borle)","SMASH Cast,Christian Borle",43,140,"musicals","BOMBSHELL",2011-00-00,02:42,59,65,19,0,42,40,0,-7,C♯/D♭ Major,4,2025-07-24,0O8YumhxTQOs3hvsMCtVH0,3B,USQX91200509
72,"Chemical Overreaction - Live","Will Wood and the Tapeworms",0,103,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,04:40,37,95,2,0,11,10,40,-5,A Major,4,2025-07-24,2GPEkwZxSTAcD2PmmD2n4F,11B,USCGH2075528
73,"Fibrodysplasia Ossificans Progressiva - Live","Will Wood and the Tapeworms",0,131,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,04:37,39,79,41,0,39,0,50,-5,C Major,4,2025-07-24,0Llz3Cn1nniovCRa20liJj,8B,USCGH2075529
74,"Rim Tim Tagi Dim","Baby Lasagna",67,128,"europop","Rim Tim Tagi Dim",2024-01-12,02:59,59,87,0,0,58,0,40,-7,A Major,4,2025-07-24,5TswDbxMnxptgFTf6ZxvXQ,11B,AT2DY2400003
75,"No Rules!","Windows95Man",56,160,"","No Rules!",2024-01-16,02:55,49,95,3,0,62,0,30,-5,B Minor,4,2025-07-24,4QWrK6lpr8rZ6sa8ymqMrq,10A,FIACQ2400001
76,"WEBKINZLID NYA NYA DANCE","MAILPUP,sixwing",40,175,"speedcore, breakcore, hyperpop","WEBKINZLID NYA NYA DANCE",2023-06-30,01:33,55,95,8,0,77,20,30,-9,B Major,4,2025-07-24,50nI2pLf41U0IKg4ZDCoEN,1B,QZMEQ2367312
77,"HEWWO KITTY! >:3c","MAILPUP",39,167,"speedcore, breakcore, hyperpop","STAY @ HOME SUMMER 2020",2020-09-23,01:47,52,76,30,0,52,30,70,-9,D Major,4,2025-07-24,6QzR7hHziidwXzf6qGQ8f6,10B,QZK6H2059995
78,"¡Aikido! (Neurotic / Erotic)","Will Wood and the Tapeworms",47,73,"","Everything is a Lot",2015-05-20,02:12,65,56,79,0,47,0,10,-5,G Major,4,2025-07-24,0ebTM7rfymiqJKaZdTkzCf,9B,QMAAK1576504
79,"White Knuckle Jerk (Where Do You Get Off?)","Will Wood and the Tapeworms",51,134,"","Everything is a Lot",2015-05-20,03:49,45,77,13,0,37,0,10,-6,F Minor,4,2025-07-24,45RTHDstUcE7oHG2gKErQS,4A,QMAAK1576505
80,"Cover This Song (A Little Bit Mine)","Will Wood and the Tapeworms",51,142,"","Everything is a Lot",2015-05-20,03:57,51,92,20,0,49,0,10,-5,C Major,4,2025-07-24,4nnlGdiNs0K08hU3Gfh3ju,8B,QMAAK1576506
81,"Thermodynamic Lawyer Esq, G.F.D.","Will Wood and the Tapeworms",58,104,"","Everything is a Lot",2015-05-20,03:39,33,94,0,0,47,0,80,-3,C Major,4,2025-07-24,7qEG0YfQU1GEcBI9CEA4Sk,8B,QMAAK1576507
82,"Red Moon","Will Wood and the Tapeworms",51,146,"","Everything is a Lot",2015-05-20,04:08,38,93,1,1,73,0,30,-4,G Minor,4,2025-07-24,080cWGLrooY09KyQmNBVCC,6A,QMAAK1576508
